order_id,order_date,customer,region,category,product,quantity,unit_price,revenue
ORD-11297,2025-06-23,Quality Crab,MD,Office Supplies,Stapler Set,1.0,18.35,18.35
ORD-12711,2025-08-07,Dominion Cafe,DC,Electronics,USB-C Dock,3.0,95.39,286.17
ORD-13104,2026-03-22,Zenith HVAC,VA,Safety Equipment,First Aid Kit,10.0,43.92,439.20000000000005
ORD-12616,2025-06-29,Pembroke Law Group,VA,Food & Beverage,Snack Variety Box,1.0,35.2,35.2
ORD-14684,2025-04-24,Harbor Light Church,DC,Furniture,Standing Desk,10.0,406.62,4066.2
ORD-12178,2025-09-16,Osprey Optics,NC,Food & Beverage,Snack Variety Box,3.0,37.17,111.51
ORD-11995,2026-02-02,Tidewater Roofing,MD,Office Supplies,Copy Paper Case,2.0,44.0,88.0
,2025-03-06,Virginia Beach Vets,VA,Cleaning,Trash Liners Box,1.0,23.06,23.06
ORD-12434,2025-11-14,Oceanfront Surf Shop,DC,Electronics,USB-C Dock,3.0,86.27,258.81
ORD-13182,2026-05-13,Dominion Cafe,VA,Cleaning,Hand Soap Case,8.0,29.12,232.96
ORD-14451,2025-02-08,Bayview Dental,SC,Electronics,27in Monitor,1.0,233.27,233.27
ORD-11653,2025-05-13,Mount Trashmore Mini Golf,VA,Electronics,Label Printer,1.0,129.0,129.0
ORD-13548,2025-11-22,Ironclad Fitness,DC,Electronics,USB-C Dock,5.0,87.72,438.6
ORD-11761,2025-10-19,Kettle Crumb Bakery,DC,Office Supplies,Ink Cartridge,1.0,32.19,32.19
ORD-12063,2025-01-02,Mount Trashmore Mini Golf,,Food & Beverage,Snack Variety Box,8.0,35.58,284.64
ORD-11505,2025-04-23,Nansemond Nursery,VA,Office Supplies,Copy Paper Case,10.0,43.38,433.8
ORD-13321,2026-03-08,Bayview Dental,VA,Cleaning,Disinfectant 4-Pack,8.0,26.61,212.88
ORD-11534,2026-02-19,Uptown Barbers,MD,Office Supplies,Ink Cartridge,1.0,31.25,31.25
ORD-14297,2025-05-06,Chesapeake Motors,VA,Electronics,Label Printer,1.0,140.04,140.04
ORD-10416,2026-03-01,Ironclad Fitness,SC,Office Supplies,Ink Cartridge,1.0,31.77,31.77
ORD-14019,2026-01-17,Inlet Ice Cream,SC,Furniture,Bookshelf,8.0,115.48,923.84
ORD-14709,2025-11-15,Chesapeake Motors,SC,Food & Beverage,Coffee 5lb Bag,1.0,45.93,45.93
ORD-10056,2025-04-06,Tidewater Roofing,SC,Furniture,Standing Desk,2.0,379.38,758.76
,2025-09-30,Pembroke Law Group,SC,Cleaning,Hand Soap Case,2.0,31.13,62.26
ORD-13224,2025-03-20,Redwing Auto Parts,NC,Cleaning,Disinfectant 4-Pack,2.0,27.11,54.22
ORD-14774,2025-07-28,Wavecrest Hotel,MD,Food & Beverage,Coffee 5lb Bag,4.0,49.6,198.4
ORD-14287,2026-02-27,Chesapeake Motors,DC,Safety Equipment,First Aid Kit,1.0,43.17,43.17
ORD-14368,2026-01-17,Atlantic Supply,NC,Office Supplies,Ink Cartridge,1.0,33.58,33.58
ORD-10965,2025-08-22,Landstown Pediatrics,VA,Furniture,Task Chair,1.0,170.58,170.58
ORD-12823,2025-01-10,Foxtail Florist,SC,Safety Equipment,Fire Extinguisher,3.0,68.93,206.79000000000002
ORD-11471,2025-11-22,Uptown Barbers,DC,Food & Beverage,Tea Sampler,5.0,21.19,105.95
ORD-11798,2026-04-01,Lighthouse Daycare,DC,Electronics,Wireless Mouse,5.0,26.78,133.9
ORD-11502,2025-07-12,Lighthouse Daycare,VA,Food & Beverage,Water Cooler Jug,3.0,13.06,39.18
ORD-12821,2026-01-16,Lighthouse Daycare,NC,Safety Equipment,First Aid Kit,10.0,43.53,435.3
ORD-14857,2025-01-22,Jetty Joes Tackle,DC,Safety Equipment,Safety Vest 10-Pack,1.0,54.92,54.92
ORD-10037,2026-02-15,Atlantic Supply,NC,Cleaning,Disinfectant 4-Pack,4.0,29.1,116.4
ORD-12780,2025-12-12,Lighthouse Daycare,NC,Food & Beverage,Water Cooler Jug,8.0,13.21,105.68
