order_id,order_date,customer,region,category,product,quantity,unit_price
ORD-11109,"June 07, 2025",ironclad fitness,SC,Electronics,USB-C Dock,-10,94.75
ord 11297,6/23/2025,Quality  Crab Co ,md,Office Supplies,Stapler Set,1,18.35 USD
ORD-12711,45876,Dominion Cafe LLC ,DC,ELECTRONICS,USB-C Dock,3,$ 95.39
ord 13104,46103,zenith  hvac inc,VA ,Safety Eqipment,First Aid Kit,10,43.92
ord 12616,45837,pembroke law group inc,va,food & beverage,Snack Variety Box,1,35.20
ORD-14684,2025-04-24,Harbor Light Church ,DC,Furniture,Standing Desk,10,$ 406.62
ORD-12178,9/16/2025,"Osprey Optics, Inc.", NC,Food & Beverage,Snack Variety Box,3,$ 37.17
ORD-11995,"February 02, 2026",tidewater roofing,md,Office supplies,Copy Paper Case,2,$ 44.00
,2025-03-06,Virginia  Beach Vets Inc,VA,Cleaning,Trash Liners Box,1,23.06 USD
ord 12434,11/14/25,Oceanfront Surf Shop LLC ,Washington DC,Electronics,USB-C Dock,3.0,86.27 USD
ORD-13182,05/13/26,Dominion Cafe,VA ,cleaning,Hand Soap Case,8,29.12 USD
ORD-14451,2/8/2025,Bayview Dental,sc ,Electronics,27in Monitor,1,233.27
ORD-11653,05/13/25,Mount Trashmore Mini Golf,va,Electronics,Label Printer,1,129.00
ORD-11268,09/16/25,nansemond nursery llc,sc ,FOOD & BEVERAGE,Coffee 5lb Bag,-3,48.29
ORD-13548,11/22/25,"IRONCLAD FITNESS, INC.",Washington DC,Electronics ,USB-C Dock,5,87.72 USD
ORD-11761,10/19/25,kettle & crumb bakery co.,Washington DC,Office Supplies,Ink Cartridge,1,32.19 USD
ORD-12063,02-Jan-25,"MOUNT TRASHMORE MINI GOLF, INC. ",NULL,Food & Beverage,Snack Variety Box,8,$35.58
ORD-11505,04/23/25,nansemond nursery co.,VA,Office Supplies,Copy Paper Case,10,43.38 USD
ORD-13063,45797,tidewater roofing co.,MD,Safety Equipment,Safety Vest 10-Pack,N/A,52.87
ORD-13321,03/08/26,"Bayview  Dental, Inc.",VA ,CLEANING,Disinfectant 4-Pack,8,26.61 USD
ORD-11534,"February 19, 2026",uptown barbers ,MD,Office supplies,Ink Cartridge,1,$ 31.25
ORD-14297,05/06/25,"CHESAPEAKE MOTORS, INC.",VA,Electronics,Label Printer,1,140.04
ORD-10416,03/01/26,Ironclad Fitness,South Carolina,Office supplies,Ink Cartridge,1,$ 31.77
ORD-14019,17-Jan-26,Inlet Ice Cream Company,SC,Furniture,Bookshelf,8,115.48 USD
ORD-14709,45976,chesapeake motors inc,South Carolina,FOOD & BEVERAGE,Coffee 5lb Bag,1,45.93 USD
ORD-10056,4/6/2025,"Tidewater Roofing, Inc.",sc ,furniture,Standing Desk,2,$379.38
,2025-09-30,Pembroke Law Group,South Carolina,Cleaning,Hand Soap Case,2,31.13 USD
ord 13224,"March 20, 2025",redwing auto parts llc,nc,CLEANING,Disinfectant 4-Pack,2,27.11
